"Atribuição geral","Atividades","Indicadores"
"","representação discente para","• Cumprimento das normativas"
"Acompanhamento","assuntos estudantis, didático-","institucionais e dos prazos"
"do corpo discente","pedagógicos e outros","estabelecidos em calendário"
"","• Atuação com o NAD para","acadêmico para o regime"
"","acompanhamento da vida","acadêmico"
"","acadêmica do discente",""
"","• Exercício da representação","• Assiduidade às reuniões"
"Representação","do curso e do corpo docente","• Cumprimento das normativas"
"nas  instâncias","conforme normativas","regimentais e específicas de cada"
"deliberativas","regimentais e específicas de","instância deliberativa"
"","cada instância deliberativa","• Cumprimento dos prazos"
"","• Realização das suas","estabelecidos em calendário"
"","atribuições específicas","acadêmico para o regime"
"","definidas nas instâncias","acadêmico"
"","deliberativas, quando houver","• Entrega dos resultados das"
"","","atividades atribuídas nas"
